headline,is_sarcastic
Jay Cutler’s Marriage Completion Percentage Drops To Zero,1
 Millions Of ‘Last Dance’ Viewers Hooked By Thrilling Benny The Bull Paternity Suit Story,1
 89-Year-Old Football Fan Still Finds It Surreal That Draftees Are Younger Than Him,1
" Tampa Bay Also Acquires Deion Branch, Kevin Faulk, Troy Brown From Patriots",1
 Top Prospects Of The 2020 NFL Draft,1
 Rob Gronkowski Hoping Bucs Trade For Tom Brady Too,1
 Gronkowski Breaks 6 Tackles On Way Out Of Neurology Clinic To Finalize Trade With Tampa Bay,1
 Novak Djokovic Clarifies Anti-Vaccine Comments By Insisting He’s Always Supported Having Sponsors,1
 Regretful ‘The Last Dance’ Producers Realize They Probably Should’ve Tried To Interview Michael Jordan,1
 Potential Ways For Sports To Restart During Coronavirus,1
 Taiwanese Robot Baseball Fan Ejected For Yelling Slurs At Pitch Camera,1
 Bulls Fire GM After 6-Week Winless Streak,1
 Olympic Torchbearer Has Been Jogging In Place On Street Corner For Past 2 Weeks,1
" ESPN Execs: ‘Fuck It, Air The Dogfighting’",1
 Quarantined Umpire Cleans His Entire Home With Tiny Brush,1
 Avid Sports Bettor Forced To Gamble On Stock Market Like Real Degenerate,1
 Kawhi Leonard Misses Second Consecutive Family Game Night Citing Load Management,1
 Tom Brady Awakens From Week-Long Kombucha Bender To Discover He’s A Tampa Bay Buccaneer,1
 Olympic Dressage Rider Enraged After Spending Past 4 Years Jauntily Trotting Around On Horse For Nothing,1
 Bucs Sign Replacement-Level Veteran To Hold Down QB Position Until They Draft Starter,1
Kansas Basketball Devastated They Won’t Get Opportunity To Vacate National Championship,1
 Tom Brady: ‘I Want To Thank All The Insufferable New England Fans For Giving Me A Reason To Get The Hell Out Of Here’,1
 Orioles Suggest That MLB Maybe Consider Canceling Entire Season Just To Be Totally Safe,1
 James Harden Pledges 10 Million Dollar Bills To Keep Nation’s Strip Clubs Afloat During Pandemic,1
 Olympic Committee Announces Tokyo Games Will Still Go On As Planned Because True Athletes Embrace Every Obstacle That Comes Their Way,1
 NFL Draft Prospect Sets Combine Record By Scrubbing Entire Social Media Presence In 17.64 Seconds,1
 Professional Rodeo Cowboys Association Horrified To Learn Madison Bumgarner Risking Health As Baseball Pitcher,1
 Timberwolves Fire Clerk On Accounts Receivable Team In First Step Towards Turning Franchise Around,1
 Pete Alonso Asks Teammates Whether They’d All Rather Sign Up For Volleyball This Year,1
 Giannis Antetokounmpo To Take Off Next 3 Seasons With Standard European Paternity Leave,1
" Hawks, Celtics, Nets, Hornets, Bulls, Cavs, Mavs, Nuggets, Pistons, Warriors, Rockets, Pacers, Clippers, Lakers, Grizzlies, Heat, Bucks, Timberwolves, Pelicans, Knicks, Thunder, Magic, 76ers, Suns, Blazers, Kings, Spurs, Raptors, Jazz, Wizards Complete Rare 30-Team Swap Of Future Second-Rounders",1
 Chiefs Fan Adjusting To New Life Of Solely Being Depressed About Life In Missouri,1
 Embarrassed Ben Simmons Retracts Criticism Of Sixers After Remembering He On Team,1
 Andy Reid After Super Bowl Win: ‘I Can Now Die Of A Heart Attack In Peace’,1
 Victorious Patrick Mahomes Thanks Bears For Drafting Mitchell Trubisky,1
 Chiefs Finally Overcome Curse Of Not Being Good For A Very Long Time,1
 Mike Shanahan Storms Onto Super Bowl Field To Berate Ref For Bullshit Call Against His Boy,1
" Adorable Super Bowl Encourages Fans To Adopt Abandoned, Stray Football Players",1
 Bored 49ers Fan Already Watched J. Lo Perform At Start-Up’s Holiday Party,1
" ‘She’s About My Age,’ Reports Mom Watching Halftime Show",1
"Sammy Watkins Stops Running In Middle Of Route To Look Around, Soak In This Special Moment",1
 FOX Adds Highlighted Line On Field Showing Women How Far Away They Should Stay From Tyreek Hill,1
 Nick Bosa Frustrated Some Guy Always Standing In Way When He’s Trying To Rush Pocket,1
" ‘I’m Just Here For The Commercials,’ Jokes Man At Super Bowl Party Too Embarrassed To Admit He Desperate For Any Human Company",1
 Panicked Referee Trying To Retrieve Super Bowl Coin From Vending Machine Before Opening Toss,1
 Increased Security Requirements For Super Bowl Mandate All Fan Clothes Be Made From Transparent Plastic,1
 Aaron Rodgers Pledges To Dedicate Off-Season To Growing As Brand Ambassador,1
" Seattle Mariners Offhandedly Suggest Astros’, Red Sox’ Titles Be Awarded To Them Instead",1
 Pro Bowl Players Not In Game Asked To Sit In Stands To Make Stadium Look Less Empty,1
 Eli Manning Retires From NFL To Focus On Being Statistically Average Father,1
 ‘The Onion’ Looks Back On The Hall-Of-Fame Career Of A-Rod’s Teammate,1
 Conor McGregor Credits Excellent Pre-Fight Shape To Routine Of Hurling Heavy Objects In Public Spaces,1
 NCAA Determines Becoming A Bengal Punishment Enough For Joe Burrow Taking Cash From Odell Beckham,1
 Drew Brees Hoping Family Doesn’t Just Get Him Football For Christmas Again,1
 Cubs Sign Sammy Sosa To $300 Million Deal Just To Give Casual Fans Point Of Reference,1
 Patriots Claim Unsanctioned Recording Was Only For Project Julian Edelman Working On For Filmmaking Class,1
 Gordon Hayward Confident He Still Has His Most Gruesome Injuries Ahead Of Him,1
 Russian Olympic Program Denies Steroids Played Role In 8-Year-Old Gymnast Hurling Balance Beam Through Wall To Escape,1
 Parents Sign Up Mitch Trubisky For Rec Soccer Team In Hopes He’ll Develop Interest In Sports,1
 Hands-Off Fantasy Football Player Only Checks Team 132 Times Each Sunday,1
Antonio Brown Proves He’s Changed Man By Breaking Into Robert Kraft’s House In Middle Of Night To Apologize,1
Ovechkin Shanks Slapshot Into Stands After Unruly Fan Coughs During Backswing,1
Kyrie Irving Debuts Signature Shoe Inspired By RFID Chips Government Secretly Implants In Anesthetized Patients,1
Matthew Stafford Admits He’d Play Through Back Injury For Better Team Than Lions,1
Clippers Ask Everyone To Keep It Down While They Rest Kawhi Leonard,1
Bengals Assure Injury Prone Tua Tagovailoa He Can Have Any Of Andy Dalton's Organs,1
Guy Who Had Least To Do With Play’s Success Celebrating The Most,1
Fox Preempts Jets-Redskins Game In First Quarter For More Exciting Shot Of Empty ‘NFL Sunday’ Studio,1
NFL Rescinds Myles Garrett Suspension After Review Footage Clearly Shows Mason Rudolph’s Punchable Fucking Face,1
Colin Kaepernick’s Agents Assure Teams His CTE Has Progressed Just As Much As Other Players Over 3-Year Hiatus,1
Magnanimous MLB Awards MVP To Hardworking Stadium Concession Staffers,1
Fan Wishes Team Was Sponsored By A Cooler Corporation,1
Sacramento Pledges To Power Arena With 100% Windmill Dunk Energy By 2030,1
"Grizzled, White-Bearded Donald Driver Emerges From 7-Year-Long Lambeau Leap",1
Referee Reviewing Replay Excited To See Self On TV,1
Lions Switch To No-Coverage Defense To Prevent Mitch Trubisky From Losing Starting QB Job,1
Self-Conscious NFL Referee Practices Raising Both Arms In Front Of Bathroom Mirror Before Game,1
Adam Eaton Spends Nationals Parade In Secure Bunker As Team’s Designated Survivor,1
Nationals Admit World Series Win Would Be Way Sweeter If Franchise Was Still In Montréal,1
"Astros Fan Announcing Game 7 After Joe Buck Scalps Press Pass For $25,000",1
Lakers Forced To Play Half-Court Against Grizzlies As Wildfire Consumes South End Of Staples Center,1
Fair-Weather Bills Fan Not Even Banned From Stadium,1
Dad Reports Old Guy Being Honored On Field Always Choked In Playoffs,1
Researchers Discover Referees Evolved Stripes To Warn Predators Against Pass Interference,1
A.J. Hinch Warns Astros If They Lose World Series All The Hurricanes Will Come Back,1
"Dak Prescott Gains 80 Pounds, Moves Back In With Parents To Prepare For Role In Chunky Soup Ad",1
Pelicans HR Informs Zion Williamson Knee Surgery Not Covered By Insurance Until 90 Days Into First Season,1
Pelicans Doctors Recommend Zion Williamson Drop Some Height To Lessen Stress On Injured Knee,1
C.C. Sabathia: ‘The Onion’ Looks Back On The Career Of The Hardest-Working Belt In Baseball,1
"NFL Game Day Prepper Stockpiles Coolers Of Bud Light, Hundreds Of Pounds Of Grilled Meat In Underground Bunker",1
Scientists Pretending To Be Interested In Kicker Offering Up Brain For Research,1
NBA Quietly Waiting For NFL To Fuck Up And Take Some Heat Off,1
Kyler Murray Stuns On Field In New Platform Cleats,1
Patriots Bring Up Young Rookie From Practice Squad To Provide Fresh Blood For Tom Brady,1
Skip Bayless Slams History Of Chinese Post-Opium War Intervention Anxiety In 6-Hour ‘Undisputed’,1
Job-Hunting Jay Gruden Frantically Scrubs Social Media Of Anything Associated With Redskins,1
Juan Soto Sheepishly Asks Group Of Nationals Fans Entering Liquor Store If They Can Buy Beer For Him After Win,1
Chinese Officials Respond To NBA Controversy By Moving Millions Of Citizens To NHL Re-Fanification Camps,1
Vontaze Burfict Expresses Deep Regret For Letting Jack Doyle Live,1
New NCAA Rule Forces Athletes To Remove All Facial Features To Prevent Them From Profiting Off Likeness,1
Bill Belichick Praises Patriots’ Discipline And Dedication In Building The Device,1
"Cubs Pitching Coach Forced To Clean Up Trembling, Piss-Covered Pitchers After Leaving Them Locked In Bullpen All Day",1
Brewers Players Showering Themselves In Beer Unaware They Clinched Playoff Spot,1
NFL Reaffirms Commitment To Player Safety By Eliminating QB Position,1
FIFA Unveils Strict New Rule Limiting Fans To 5 Racist Chants Per Game,1
Obsessive-Compulsive Baseball Player Has To Touch All 3 Bases Before Going Home,1
Rob Gronkowski’s Wife Gets Out Photo Album To Prove To Him He's Met Tom Brady,1
Overwhelmed Dolphins GM Asks Players To Please Use Automated Email Form When Making Trade Requests,1
NFL Pre-emptively Adds Whatever Bullshit Gronk Hawking To Banned Substance List,1
Cubs Team Doctor Recommends Anthony Rizzo Rehab Injured Ankle By Engaging In Light Physical Activities Like Baseball,1
Antonio Brown Excited At Opportunity To Pursue Fresh Victims In New England,1
Dolphins Fan Starting To Think Brian Flores Not Chief Architect Of Patriots’ Success,1
Ben Roethlisberger Assures Women Of Pittsburgh He Not Done Yet,1
Nike Recalls Sweat-Wicking Shirts That Pulled Gallons Of Liquid Directly From Wearers’ Bodies,1
New ESPN Peyton Manning Segment Breaks Down Current Crop Of Quarterback Commercials,1
Report: Chucking A Baseball 99 MPH Past Highway Radar Speed Sign Remains Best Indication That You Still Got The Goods,1
Roger Goodell: It Nearly Impossible For League To Keep Up With Crimes Regularly Committed By NFL Players,1
Tearful Justify Holds Press Conference Blaming Failed Drug Test On Contaminated Salt Lick,1
Sam Darnold’s Mono Diagnosis Forces Jets To Crack Down On Kissing In Huddle,1
"Stephen A. Smith Retreats To Tranquil, Secluded Fig Tree To Contemplate On Meaning Of NFL Week One",1
Bill Belichick Praises Patriots’ Discipline And Dedication In Building The Device,1
"Cubs Pitching Coach Forced To Clean Up Trembling, Piss-Covered Pitchers After Leaving Them Locked In Bullpen All Day",1
Brewers Players Showering Themselves In Beer Unaware They Clinched Playoff Spot,1
NFL Reaffirms Commitment To Player Safety By Eliminating QB Position,1
FIFA Unveils Strict New Rule Limiting Fans To 5 Racist Chants Per Game,1
Obsessive-Compulsive Baseball Player Has To Touch All 3 Bases Before Going Home,1
Rob Gronkowski’s Wife Gets Out Photo Album To Prove To Him He's Met Tom Brady,1
Overwhelmed Dolphins GM Asks Players To Please Use Automated Email Form When Making Trade Requests,1
NFL Pre-emptively Adds Whatever Bullshit Gronk Hawking To Banned Substance List,1
Cubs Team Doctor Recommends Anthony Rizzo Rehab Injured Ankle By Engaging In Light Physical Activities Like Baseball,1
Antonio Brown Excited At Opportunity To Pursue Fresh Victims In New England,1
Dolphins Fan Starting To Think Brian Flores Not Chief Architect Of Patriots’ Success,1
Ben Roethlisberger Assures Women Of Pittsburgh He Not Done Yet,1
Nike Recalls Sweat-Wicking Shirts That Pulled Gallons Of Liquid Directly From Wearers’ Bodies,1
New ESPN Peyton Manning Segment Breaks Down Current Crop Of Quarterback Commercials,1
Report: Chucking A Baseball 99 MPH Past Highway Radar Speed Sign Remains Best Indication That You Still Got The Goods,1
Roger Goodell: It Nearly Impossible For League To Keep Up With Crimes Regularly Committed By NFL Players,1
Tearful Justify Holds Press Conference Blaming Failed Drug Test On Contaminated Salt Lick,1
Sam Darnold’s Mono Diagnosis Forces Jets To Crack Down On Kissing In Huddle,1
"Stephen A. Smith Retreats To Tranquil, Secluded Fig Tree To Contemplate On Meaning Of NFL Week One",1
Indianapolis Motor Speedway Forced To Lower Speed Limit To 20 MPH After Elementary School Opens Next To Straightaway,1
Fox Sports Expands NFL In-Game Coverage By Miking Up Every Blade Of Grass,1
Financial Advisor Urges Ezekiel Elliott To Set Aside 20% Of Salary For Paying Off Women To Keep Quiet,1
Gregg Popovich Invites Tim Duncan To Address Team USA On Dangers Of Hypernationalism,1
Kobe Bryant Claims He Would’ve Won 12 Rings If Shaq’s Deadbeat Father Was Around To Instill Stronger Work Ethic,1
Case Keenum Wins Redskins Starting Job With Heartfelt ‘What I Like Most About Football Is’ Essay,1
"Kid Only Pitcher Because He’s Son Of Coach, Gets Daily One-On-One Training, Goes To Pitching Camp Every Summer",1
Derek Carr Distraught After Reading ‘Hard Knocks’ Script Where He Stabs Antonio Brown In Season Finale,1
Derek Jeter Just Going To Go Ahead And Count Stray Cats In Marlins Attendance Figure,1
"Football Program In Jeopardy After High School Allocates $500,000 To ‘Little Women’ Production",1
Cowboys Team Doctor Breaks News That Mentally Deteriorating Jerry Jones Will Soon Be Unable To Recognize Single Player On Roster,1
Jay-Z Pledges To Make Sure Colin Kaepernick Gets Contract At NFL Stadium Shop,1
Aging Boxing Veteran Wishes Someone Had Told Him Being Punched Unconscious Could Damage His Brain,1
Cautious Browns Fan Not Expecting Team To Do Better Than 13-3,1
"Report: Little League Pitchers Could Avoid Overtaxing Their Arms By, You Know, Getting Somebody Out",1
Report: It Crazy MLB Still Counts Stats From Segregated Era,1
Flipping Simone Biles Still Floating Through Upper Mesosphere,1
NFLPA Warns Holdouts They Need To Consider The Risk That They’ll End Up Having To Sign With Jets,1
Perfectionist Jon Gruden Forces ‘Hard Knocks’ To Film 78th Take Of Scene Where He Cuts Rookie,1
Man Told He’d Never Make It As Pro Defies Them All By Sucking For 4 Years In AA Ball,1
Kawhi Leonard Worried He’s Succumbing To Glitzy L.A. Lifestyle After Purchasing Flashy 2016 Subaru,1
"Stephen A. Smith: ‘Carmelo Anthony Deserves To Be Buried In An Unmarked Grave, Forgotten By Time’",1
Jordan Lyles Becomes First Brewer To Wear Irrational Number,1
Tim Duncan Maps Out Spurs’ Genealogy After Being Hired As Team Archivist,1
"LeBron James Reveals School He Founded Has Seen Huge Gains In English, Math, And Dunk Testing",1
ESPN Impressed By Mark Sanchez’s Ability To Point Out Football Field,1
Russell Westbrook Quietly Asks Rockets Team Doctor If He Needs To Make Free Throw To Pass Physical,1
"U.S. Soccer Federation Argues It Ridiculous For Female Players To Expect Same Pay As Huge Stars Like Daniel Lovitz, Djordje Mihailovic",1
Phoenix Suns Gorilla Involved In Altercation At Glendale-Area Gentlemen’s Club,1
Norfolk Tides Third Baseman Sent Down To Baltimore Orioles,1
Giannis Antetokounmpo Credits Success To Early Days Playing Against Greek Gods,1
Nenê Wins NBA’s Tenth Man Of The Year Award,1
"James Harden, Chris Paul Deny Rumors Of Discord, Say They Are Fully Committed To Team At State Farm",1
Little League Coach Just Washed-Up Former Little Leaguer,1
Knicks Front Office Scrambling After Zion Williamson Drafted Before 3rd Pick,1
"Josh McCown Retires After Signing One-Day Contract With Cardinals, Lions, Raiders, Dolphins, Panthers, 49ers, Bears, Buccaneers, Browns, Jets",1
Nike Unveils Size-Inclusive Mannequin Eating A 12-Inch Hoagie,1
Nike Touts New Sports Bra With Latest Breast-Crushing Technology,1
"Warriors Attribute Finals Loss To Durant’s Ruptured Achilles, Klay’s Torn ACL, Curry Being Hit By Bus Near End Of Game 6",1
Golfer Can Never Remember If He’s Matt Kuchar Or Brooks Koepka,1
Georgia Secretary Of State Vows To Investigate Why Some Residents Forced To Wait 2 Centuries To Vote,1
Congress Announces Willingness To Offer Black Lives Matter Protesters Holiday Or Statue,1
Democratic Leaders Announce That They’ve Learned The Words ‘Systemic Racism’,1
"‘She Needs A Bible Now, Fuckwad—Yes, It’s For An Epic Clapback!’ Yells Panicked Pelosi Aide Into Phone",1
"DNC To Streamline Fundraising By Cutting Out Unnecessary Cost Of Campaigns, Candidates",1
Pros And Cons Of Voting By Mail,1
Biden Campaign Email Trails Off Halfway Through,1
Biden Campaign Considering Using The Internet To Attract Voters,1
Nancy Pelosi Assures Democratic Reps They Don’t Need To Try Being Productive During Stressful Pandemic,1
"Obama: ‘I’m So Proud To Endorse Joe Biden—That’s Who They Went With, Huh?—For President’",1
"‘It Was, For, Uh, Medical Reasons,’ Says Doctor To Boris Johnson, Explaining Why They Had To Give Him Haircut",1
"‘I Congratulate Joe Biden, A Very Decent Man,’ Says Bernie Sanders In Unprovoked Attack On Democratic Party Unity",1
Wisconsin Primary Voters Receive ‘I Voted’ Gravestones,1
Senator Kelly Loeffler Asks For Prayers After Losing $3 On Single Stock Due To Coronavirus,1
Georgia Governor Argues That Closing State’s Beaches An Attack On Citizens’ Fundamental Right To Get Wet ’N’ Wild,1
Trump Admits 18 New States To Increase Competition For Medical Supplies,1
Southern Governors Argue Covid-19 Good Christian Virus That Wouldn’t Dare Spread During Church,1
Jared Kushner Says States Should Have Planned Ahead Before Joining The Union,1
How Coronavirus Has Changed The 2020 Primaries,1
Trump Tackles Medical Supply Shortage By Awarding ExxonMobil Contract To Drill For Ventilators In Arctic,1
Trump Delays Easter To July 15 To Keep Promise On Coronavirus,1
Trump Announces Plan To Retrain Nation’s 3 Million Unemployed Americans As Human Ventilators,1
What’s In Congress’ Coronavirus Stimulus Bill,1
"Congress Sets Aside $1,200 In Trust For Each American Until They Prove They’re Responsible Enough To Handle It",1
Trump’s Call To Reopen Economy Attributed To New Floating Virus Cloud Advisor,1
Trump Suggests Ceding New York To Coronavirus As Possible Appeasement Strategy,1
Trump Urges Loosening CDC Restrictions To Let Coronavirus Get To Work,1
GOP Urges End Of Quarantine For Lifeless Bipedal Automatons That Make Economy Go,1
Richard Burr Wondering When Profiting Off Mass Suffering Suddenly Became A Crime In This Country,1
Trump Administration Releases Best Case Scenario Projections For Coronavirus Where 8 Million Iranian People Die,1
Trump Seeks To Stimulate Economy By Sending Rare Autographed Photo To Every American,1
Triumphant Jared Kushner Announces Plan To Move CDC Headquarters To Jerusalem,1
"Trump Quietly Checks With Aides To Make Sure He’d Be Included In Receiving $1,000 Government Checks",1
Conservative Worries Relief Checks Would Discourage Americans From Providing For Selves By Killing Him And Taking His Property,1
Congress Allocates $2 Trillion To Bail Out Struggling Bailout Industry,1
Biden Pledges To Select Woman As Vice President Since Position Doesn’t Entail Much Anyway,1
‘I Have Coronavirus And I Am Dead’ Says Trump Furthering Confusion Over COVID-19,1
Frustrated Jared Kushner Doesn’t Get Why Everyone In Media Attacking His Qualifications Like They Didn’t Just Get Jobs Through Nepotism Too,1
Kushner Announces Doctors HATE Him After He Discovered One Weird Trick To CURE Coronavirus,1
Trump Assures Americans He Called 911 To Report Coronavirus Outbreak,1
Federal Reserve Takes Drastic Action By Pumping $1.5 Trillion Into The Ether,1
Biden Extends Olive Branch To Biden Supporters,1
Tulsi Gabbard Named Democratic Nominee After Discovery Of Obscure Rule That Grants Nomination To Whoever Wins 0.7% Of The Vote In Missouri,1
"‘Vote Blue No Matter Who, Vote Blue No Matter Who,’ Chants Man Filling In Every Bubble On Democratic Primary Ballot",1
Biden Gives Speech From South African Jail Cell Where He Still Imprisoned For Supporting Nelson Mandela,1
Key Priorities For Trump’s Reelection Campaign,1
Biden Defends Past Inappropriate Touching Of Women As Symptom Of Stuttering Hands,1
Ruth Bader Ginsburg Flirting With 67-Year-Old Intern Again,1
"Vindictive Amy Klobuchar Elected Mayor Of South Bend, Indiana",1
Biden Wondering Where All This Support Was When He Still Had Functioning Brain,1
Sanders Supporter Urges Importance Of Listening To Minority Voices Just Not Specifically The Ones Who Handed Victory To Biden,1
Biggest Takeaways From Super Tuesday,1
Frustrated Bloomberg Staffer Literally Just Aborted Fetus For This Job,1
Biden Says Incredible Comeback Proves He Can Beat Progressive Democrat In A General Election,1
Last-Minute Change To Super Tuesday Primary Rules Requires All 14 States To Vote At Same Polling Place,1
Biden Confident After Spending Super Tuesday Stumping Across Iowa,1
"‘I’m Proud To Endorse Biden And So Are All Of You,’ Announces Pipe-Waving Amy Klobuchar",1
"Buttigieg Drops Out Of Democratic Race After Slamming Own Plan To Be President As ‘Naive, Unrealistic Pipe Dream’",1
Damning New Footage Shows Sanders In 1980s Arguing Madonna Could Never Make Transition From Music To Film,1
Trump Claims Responsibility For Longest Black History Month In 4 Years,1
"Warren Tells Supporters To Cut That Pinterest Shit Out, This Is Serious",1
Obama Kind Of Hurt No One’s Even Asked For His Endorsement,1
‘I’ll Show Those Pricks!’ Screams Mitt Romney Driving Busload Of Pregnant Women To Abortion Clinic After Being Disinvited To CPAC,1
‘Whatavirus?’ Says Half-Naked Mike Pence Brushing Crumbs Off Stomach While Taking First Call From Trump In 18 Months,1
"‘I Like This Candidate Now And Will Vote For Him,’ Says Area Man After Having To Watch 12th Bloomberg Ad In Single Day",1
Pete Buttigieg Pivots From Mimicking Obama To Mimicking Sanders In Attempt To Gain Ground,1
Candidates Struggle To Answer Question About Future Of Granite Countertops During HGTV Town Hall,1
Biggest Takeaways From The South Carolina Democratic Debate,1
Sanders Supporter Sick Of Movement Being Defined By Small Number Of Toxic Members Like Him,1
Trump Holds Diplomatic Ceremony To Formally Welcome Coronavirus To United States,1
"‘Tell Me About It, Stud,’ Says Pleather-Clad Elizabeth Warren On Debate Stage In Effort To Court Bad Boy Demographic",1
Moderators Kick Off Debate By Asking Whether Bloomberg Ready To Get Shit Rocked Again,1
Klobuchar Hoping To Distinguish Herself During Debate As Only Candidate Not Sucker Punched In Gut Moments Before Stepping On Stage,1
Elena Kagan Worried She’s A Fraud After Being Only Female Justice Not Called Out By Trump,1
How Political Endorsements Get Made,1
Trump In India Hails Blossoming Relations Between The 2 Planets,1
Embarrassed Heart Surgeon Admits He May Have Accidentally Left Sanders’ Medical Records In Candidate’s Chest,1
"Trump Administration Rolls Back Hunting Regulations Forbidding Use Of Chokeholds, Eye Gouging On Birds",1
Experts Concerned Pale Russian Mystic Constantly At Trump’s Side May Attempt To Influence 2020 Election,1
Bloomberg Housekeepers Brace For Another Day Of Dressing Up Like DNC Candidates And Letting Boss Beat Them In Debate,1
Highlights Of The Nevada Democratic Debate,1
Biden Begging Donors To Stop Sending Money So He Can Quit Race,1
